10.128.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200
10.128.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302
10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200
10.131.2.1,29/Nov/2017,GET /js/vendor/moment.min.js HTTP/1.1,200
10.130.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200
10.130.2.1,29/Nov/2017,GET /profile.php?user=bala HTTP/1.1,200
10.128.2.1,29/Nov/2017,GET /js/jquery.min.js HTTP/1.1,200
10.131.2.1,29/Nov/2017,GET /js/chart.min.js HTTP/1.1,200
10.131.2.1,29/Nov/2017,GET /edit.php?name=bala HTTP/1.1,200
10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302
10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200
10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200
10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200
10.130.2.1,29/Nov/2017,GET /home.php HTTP/1.1,302
10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200
10.129.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302
10.131.0.1,29/Nov/2017,GET /home.php HTTP/1.1,200
10.131.0.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,29/Nov/2017,GET /home.php HTTP/1.1,302
10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200
10.131.2.1,29/Nov/2017,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,29/Nov/2017,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1,29/Nov/2017,GET /css/normalize.css HTTP/1.1,200
10.128.2.1,29/Nov/2017,GET /css/style.css HTTP/1.1,200
10.131.0.1,29/Nov/2017,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.129.2.1,29/Nov/2017,GET /css/main.css HTTP/1.1,200
